Bronx 421A Exempt Properties as of FINAL Roll FY'16/17,,,,,,,,,,,,,,
Neighborhood Name and Descriptive Data is as of Final 16/17,,,,,,,,,,,,,,
"Unit information first from RPAD, if missing then from VISION.",,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE, RESIDENTIAL UNITS , COMMERCIAL UNITS , TOTAL UNITS , LAND SQUARE FEET , GROSS SQUARE FEET ,YEAR BUILT
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1107,R3,2821 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1108,R3,2821 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1109,R3,2821 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1110,R3,2817 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1111,R3,2817 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1112,R3,2817 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1113,R3,2813 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1114,R3,2813 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1115,R3,2813 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1116,R3,2809 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1117,R3,2809 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1118,R3,2809 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1119,R3,2805 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1120,R3,2805 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1121,R3,2805 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1122,R3,2801 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1123,R3,2801 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1124,R3,2801 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,08  RENTALS - REGULATED                     ,2,4753,29,D1,3333 BRUNER AVENUE                       ,10469,23,0,23,26500,30000,2000
2,BAYCHESTER               ,08  RENTALS - REGULATED                     ,2,4899,3,D1,1835 NEEDHAM AVENUE                      ,10466,47,0,47,79608,55331,2001
2,BAYCHESTER               ,08  RENTALS - REGULATED                     ,2,5228,41,D9,3300 PALMER AVENUE                       ,10475,67,0,67,35997,69443,1999
2,BAYCHESTER               ,09  RENTALS - UNREGULATED                   ,2,5228,12,D9,3310 PALMER AVENUE                       ,10475,68,0,68,35400,69443,1999
2,BAYCHESTER               ,14  4-10 FAMILY RENTALS                     ,2B,4708,5,C1,1185 EAST 213 STREET                     ,10469,8,0,8,3614,7197,2005
2,BAYCHESTER               ,14  4-10 FAMILY RENTALS                     ,2B,4708,8,C1,1183 EAST 213 STREET                     ,10469,8,0,8,3297,7170,2005
2,BAYCHESTER               ,14  4-10 FAMILY RENTALS                     ,2B,4708,181,C1,1184 EAST 214 STREET                     ,10469,8,0,8,3656,7668,2004
2,BAYCHESTER               ,14  4-10 FAMILY RENTALS                     ,2B,4708,182,C1,1186 EAST 214 STREET                     ,10469,8,0,8,3646,7344,2004
2,BAYCHESTER               ,14  4-10 FAMILY RENTALS                     ,2A,4722,2,C3,3531 EASTCHESTER ROAD                    ,10469,4,0,4,1745,4552,2012
2,BAYCHESTER               ,14  4-10 FAMILY RENTALS                     ,2A,4722,3,C3,3529 EASTCHESTER ROAD                    ,10469,4,0,4,1671,4248,2012
2,BAYCHESTER               ,14  4-10 FAMILY RENTALS                     ,2A,4737,107,C3,3373 FENTON AVENUE                       ,10469,4,0,4,2900,3480,2002
2,BAYCHESTER               ,14  4-10 FAMILY RENTALS                     ,2A,4737,108,C3,3371 FENTON AVENUE                       ,10469,4,0,4,2100,3405,2002
2,BAYCHESTER               ,14  4-10 FAMILY RENTALS                     ,2B,4762,81,C1,1470 KNAPP STREET                        ,10469,7,0,7,3300,6466,2006
2,BAYCHESTER               ,14  4-10 FAMILY RENTALS                     ,2B,4762,82,C1,1472 KNAPP STREET                        ,10469,7,0,7,4204,8264,2006
2,BAYCHESTER               ,35  CONDO PARKING                           ,4,4795,1043,RP,2873 ELY AVENUE                          ,10469,0,1,1,0,0,2008
2,BAYCHESTER               ,35  CONDO PARKING                           ,4,4795,1044,RP,2869 ELY AVENUE                          ,10469,0,1,1,0,0,2008
2,BAYCHESTER               ,35  CONDO PARKING                           ,4,4795,1045,RP,2857 ELY AVENUE                          ,10469,0,1,1,0,0,2008
2,BAYCHESTER               ,35  CONDO PARKING                           ,4,4795,1046,RP,2853 ELY AVENUE                          ,10469,0,1,1,0,0,2008
2,BAYCHESTER               ,35  CONDO PARKING                           ,4,4795,1047,RP,2847 ELY AVENUE                          ,10469,0,1,1,0,0,2008
2,BAYCHESTER               ,35  CONDO PARKING                           ,4,4795,1048,RP,2845 ELY AVENUE                          ,10469,0,1,1,0,0,2008
2,BAYCHESTER               ,35  CONDO PARKING                           ,4,4795,1049,RP,2841 ELY AVENUE                          ,10469,0,1,1,0,0,2008
2,BAYCHESTER               ,35  CONDO PARKING                           ,4,4795,1050,RP,2837 ELY AVENUE                          ,10469,0,1,1,0,0,2008
2,BAYCHESTER               ,35  CONDO PARKING                           ,4,4795,1051,RP,2895 ELY AVENUE                          ,10469,0,1,1,0,0,2008
2,BAYCHESTER               ,35  CONDO PARKING                           ,4,4795,1052,RP,2891 ELY AVENUE                          ,10469,0,1,1,0,0,2008
2,BAYCHESTER               ,35  CONDO PARKING                           ,4,4795,1053,RP,2877 ELY AVENUE                          ,10469,0,1,1,0,0,2008
2,BAYCHESTER               ,35  CONDO PARKING                           ,4,4795,1054,RP,2865 ELY AVENUE                          ,10469,0,1,1,0,0,2008
