Year,GeogName,GeogID,Borough,TotalPop,Hispanic/Latino,White,Black,AmericanIndian,Asian,Puerto Rican
2013,Central Harlem North-Polo Grounds                              ,MN03,Manhattan,"79,373","18,948","6,412","49,250",250,"2,351","6,724"
2013,Hamilton Heights                                               ,MN04,Manhattan,"51,007","24,926","7,390","16,374",85,859,"2,466"
2013,Manhattanville                                                 ,MN06,Manhattan,"23,566","13,726","2,230","6,096",0,858,"1,902"
2013,Morningside Heights                                            ,MN09,Manhattan,"56,072","13,046","26,275","6,693",49,"7,956","3,439"
2013,Central Harlem South                                           ,MN11,Manhattan,"48,111","8,457","8,882","27,809",16,"1,864","3,127"
2013,Upper West Side                                                ,MN12,Manhattan,"136,393","19,938","91,812","11,241",220,"9,851","6,452"
2013,Hudson Yards-Chelsea-Flat Iron-Union Square                    ,MN13,Manhattan,"73,003","10,710","46,551","4,342",294,"8,783","4,065"
2013,Lincoln Square                                                 ,MN14,Manhattan,"59,879","5,797","44,051","2,035",18,"6,733","2,447"
2013,Clinton                                                        ,MN15,Manhattan,"41,647","8,409","24,483","2,442",0,"5,386","2,780"
2013,Midtown-Midtown South                                          ,MN17,Manhattan,"28,234","2,121","18,678","1,121",51,"5,460",526
2013,Turtle Bay-East Midtown                                        ,MN19,Manhattan,"48,597","3,553","36,530",966,113,"6,704",934
2013,Murray Hill-Kips Bay                                           ,MN20,Manhattan,"48,264","5,306","32,081","2,177",16,"7,379","1,721"
2013,Gramercy                                                       ,MN21,Manhattan,"26,864","1,797","20,018",791,68,"3,217",642
2013,East Village                                                   ,MN22,Manhattan,"43,684","4,927","29,235","2,291",45,"6,060","1,772"
2013,West Village                                                   ,MN23,Manhattan,"66,550","3,898","53,302","1,258",130,"5,870",588
2013,SoHo-TriBeCa-Civic Center-Little Italy                         ,MN24,Manhattan,"41,866","2,401","27,709",861,31,"9,180",416
2013,Battery Park City-Lower Manhattan                              ,MN25,Manhattan,"40,594","3,880","26,157","1,208",49,"8,208","1,288"
2013,Chinatown                                                      ,MN27,Manhattan,"46,371","5,977","7,475","1,946",327,"29,295","2,199"
2013,Lower East Side                                                ,MN28,Manhattan,"75,660","29,885","16,828","7,227",40,"19,186","20,102"
2013,Lenox Hill-Roosevelt Island                                    ,MN31,Manhattan,"79,227","5,784","59,767","3,679",0,"8,210","1,291"
2013,Yorkville                                                      ,MN32,Manhattan,"78,036","7,651","59,764","2,255",17,"6,741","3,095"
2013,East Harlem South                                              ,MN33,Manhattan,"58,937","25,635","11,660","14,259",0,"5,741","14,275"
2013,East Harlem North                                              ,MN34,Manhattan,"58,820","29,093","4,892","20,804",22,"2,943","14,173"
2013,Washington Heights North                                       ,MN35,Manhattan,"73,111","47,731","18,871","3,487",36,"2,092","4,480"
2013,Washington Heights South                                       ,MN36,Manhattan,"88,211","64,601","9,479","9,821",94,"2,319","4,592"
2013,Upper East Side-Carnegie Hill                                  ,MN40,Manhattan,"58,745","3,110","50,560",835,113,"3,067",612
2013,Stuyvesant Town-Cooper Village                                 ,MN50,Manhattan,"22,996","1,655","16,565",799,12,"3,482",807
2013,park-cemetery-etc-Manhattan                                    ,MN99,Manhattan,,,,,NA,,
2013,South Jamaica                                                  ,QN01,Queens,"39,008","6,740",246,"25,900",332,"2,540","2,175"
2013,Springfield Gardens North                                      ,QN02,Queens,"26,525","2,189",322,"23,640",0,214,"1,231"
2013,Springfield Gardens South-Brookville                           ,QN03,Queens,"20,077","1,475",289,"17,389",0,363,732
2013,Rosedale                                                       ,QN05,Queens,"27,915","2,097","1,395","23,171",27,951,"1,122"
2013,Jamaica Estates-Holliswood                                     ,QN06,Queens,"25,944","3,473","6,424","6,851",74,"7,835",451
2013,Hollis                                                         ,QN07,Queens,"20,479","2,287",523,"12,876",8,"3,130",807
2013,St. Albans                                                     ,QN08,Queens,"52,999","3,681",613,"46,457",38,763,"1,214"
2013,Breezy Point-Belle Harbor-Rockaway Park-Broad                  ,QN10,Queens,"29,464","3,456","22,927","2,184",8,570,"1,423"
2013,Hammels-Arverne-Edgemere                                       ,QN12,Queens,"36,255","9,260","6,172","18,472",0,"1,426","3,319"
2013,Far Rockaway-Bayswater                                         ,QN15,Queens,"50,314","12,915","13,295","21,733",96,"1,206","2,235"
2013,Forest Hills                                                   ,QN17,Queens,"84,378","11,025","48,721","2,262",192,"20,251","2,853"
2013,Rego Park                                                      ,QN18,Queens,"27,895","5,015","13,232",571,64,"8,068",948
2013,Glendale                                                       ,QN19,Queens,"31,948","11,256","18,905",280,101,"1,146","5,323"
2013,Ridgewood                                                      ,QN20,Queens,"69,901","35,589","26,654","1,327",66,"5,656","14,524"
2013,Middle Village                                                 ,QN21,Queens,"38,960","5,985","29,358",381,0,"3,082","1,964"
2013,Flushing                                                       ,QN22,Queens,"68,902","10,937","6,429","2,536",599,"46,439","1,943"
2013,College Point                                                  ,QN23,Queens,"24,470","9,292","6,789",545,121,"7,301",828
2013,Corona                                                         ,QN25,Queens,"56,319","34,214","5,082","8,473",0,"7,943","2,329"
2013,North Corona                                                   ,QN26,Queens,"51,847","44,775",806,"2,043",62,"3,896",869
2013,East Elmhurst                                                  ,QN27,Queens,"23,743","15,544","1,056","5,712",0,"1,087",609
2013,Jackson Heights                                                ,QN28,Queens,"105,339","58,627","17,061","1,903",325,"24,657","4,083"
2013,Elmhurst                                                       ,QN29,Queens,"85,855","37,502","5,487","1,289",162,"39,854","1,476"
2013,Maspeth                                                        ,QN30,Queens,"27,811","7,772","16,242",233,18,"3,239","1,718"
2013,Hunters Point-Sunnyside-West Maspeth                           ,QN31,Queens,"61,565","20,575","22,570","1,083",28,"15,866","2,834"
2013,Cambria Heights                                                ,QN33,Queens,"19,614",863,291,"17,710",99,352,131
2013,Queens Village                                                 ,QN34,Queens,"57,958","10,343","3,115","28,501",96,"10,750","2,361"
2013,Briarwood-Jamaica Hills                                        ,QN35,Queens,"38,685","10,648","8,081","4,179",6,"13,262","1,642"
2013,Kew Gardens Hills                                              ,QN37,Queens,"38,218","5,184","19,416","2,943",47,"8,962","1,106"
2013,Pomonok-Flushing Heights-Hillcrest                             ,QN38,Queens,"33,183","6,387","11,314","3,681",45,"10,895","2,194"
2013,Fresh Meadows-Utopia                                           ,QN41,Queens,"18,305","2,279","5,914",507,9,"9,074",422
2013,Oakland Gardens                                                ,QN42,Queens,"27,980","1,977","12,043",418,21,"12,617",431
2013,Bellerose                                                      ,QN43,Queens,"27,046","5,212","8,770","1,588",45,"10,290","1,607"
2013,Glen Oaks-Floral Park-New Hyde Park                            ,QN44,Queens,"22,758","1,784","10,947",807,89,"8,249",512
2013,Douglas Manor-Douglaston-Little Neck                           ,QN45,Queens,"25,191","2,731","12,104",591,0,"9,598",487
2013,Bayside-Bayside Hills                                          ,QN46,Queens,"46,280","6,297","20,405",787,195,"17,264","1,206"
2013,Ft. Totten-Bay Terrace-Clearview                               ,QN47,Queens,"22,191","2,138","14,761",107,22,"4,662",744
2013,Auburndale                                                     ,QN48,Queens,"20,716","2,509","8,616",172,27,"8,921",467
2013,Whitestone                                                     ,QN49,Queens,"32,632","5,008","21,104",172,38,"5,752","1,056"
2013,Elmhurst-Maspeth                                               ,QN50,Queens,"26,016","7,425","3,894",206,36,"14,225",507
2013,Murray Hill                                                    ,QN51,Queens,"52,121","7,898","13,747",780,84,"28,566","1,008"
2013,East Flushing                                                  ,QN52,Queens,"27,404","4,241","5,381",367,162,"16,362",485
2013,Woodhaven                                                      ,QN53,Queens,"61,285","33,286","9,478","3,029",76,"13,554","8,751"
2013,Richmond Hill                                                  ,QN54,Queens,"64,569","21,993","6,813","5,779",496,"19,762","5,312"
2013,South Ozone Park                                               ,QN55,Queens,"81,547","17,046","5,303","19,696",493,"18,722","4,035"
2013,Ozone Park                                                     ,QN56,Queens,"22,572","8,919","6,050","1,300",39,"5,473","2,606"
2013,Lindenwood-Howard Beach                                        ,QN57,Queens,"28,094","5,495","20,612",686,0,696,"2,448"
2013,Kew Gardens                                                    ,QN60,Queens,"23,198","5,920","11,167","1,877",43,"3,848","1,206"
2013,Jamaica                                                        ,QN61,Queens,"54,053","20,859","2,039","10,573",430,"15,630","2,002"
2013,Queensboro Hill                                                ,QN62,Queens,"21,281","3,862","3,546",250,131,"13,041",484
2013,Woodside                                                       ,QN63,Queens,"43,878","15,325","10,259",659,45,"16,629","2,276"
2013,Laurelton                                                      ,QN66,Queens,"26,070","1,239",456,"23,389",31,340,575
2013,Queensbridge-Ravenswood-Long Island City                       ,QN68,Queens,"18,708","7,847","3,212","4,113",96,"3,096","2,076"
2013,Astoria                                                        ,QN70,Queens,"75,257","20,390","39,313","3,672",21,"10,218","4,197"
2013,Old Astoria                                                    ,QN71,Queens,"28,293","8,694","10,790","2,896",265,"5,101","1,408"
2013,Steinway                                                       ,QN72,Queens,"47,285","10,036","30,574",876,34,"4,733","1,837"
2013,Baisley Park                                                   ,QN76,Queens,"35,651","4,597",305,"26,733",85,"1,438","1,498"
2013,Airport                                                        ,QN98,Queens,,,,,NA,,
2013,park-cemetery-etc-Queens                                       ,QN99,Queens,,,,,NA,,
2013,Annadale-Huguenot-Prince's Bay-Eltingville                     ,SI01,Staten Island,"28,638","1,951","25,392",75,0,"1,021","1,250"
2013,New Springville-Bloomfield-Travis                              ,SI05,Staten Island,"40,256","5,251","26,301","1,920",54,"6,416","2,809"
2013,Westerleigh                                                    ,SI07,Staten Island,"24,369","3,326","18,096",608,27,"1,805","1,782"
2013,Grymes Hill-Clifton-Fox Hills                                  ,SI08,Staten Island,"23,552","5,856","6,463","7,969",288,"2,553","2,885"
2013,Charleston-Richmond Valley-Tottenville                         ,SI11,Staten Island,"24,459","3,069","19,682",540,22,891,924
2013,Mariner's Harbor-Arlington-Port Ivory-Granite                  ,SI12,Staten Island,"29,947","11,075","6,907","8,848",29,"2,361","5,955"
2013,Grasmere-Arrochar-Ft. Wadsworth                                ,SI14,Staten Island,"15,077","1,796","10,227",766,0,"2,149",922
2013,West New Brighton-New Brighton-St. George                      ,SI22,Staten Island,"31,847","9,560","8,468","11,446",2,"1,531","4,358"
2013,Todt Hill-Emerson Hill-Heartland Village-Ligh                  ,SI24,Staten Island,"31,268","3,307","22,506",549,6,"4,631","1,973"
2013,Oakwood-Oakwood Beach                                          ,SI25,Staten Island,"21,743","2,546","17,663",631,0,658,"1,471"
2013,Port Richmond                                                  ,SI28,Staten Island,"18,656","5,909","8,192","3,216",0,870,"2,030"
2013,Rossville-Woodrow                                              ,SI32,Staten Island,"20,297","1,506","17,610",58,0,"1,016",850
2013,New Brighton-Silver Lake                                       ,SI35,Staten Island,"18,649","4,809","10,574","2,044",7,948,"1,726"
2013,Old Town-Dongan Hills-South Beach                              ,SI36,Staten Island,"25,292","3,563","18,037",886,39,"2,421","1,159"
2013,Stapleton-Rosebank                                             ,SI37,Staten Island,"26,904","8,410","10,132","5,302",14,"2,511","3,615"
2013,New Dorp-Midland Beach                                         ,SI45,Staten Island,"21,129","3,236","15,904",344,0,"1,592","1,482"
2013,Arden Heights                                                  ,SI48,Staten Island,"24,619","2,829","19,869",257,14,"1,550","1,919"
2013,Great Kills                                                    ,SI54,Staten Island,"43,521","4,025","37,589",111,11,"1,555","1,619"
2013,park-cemetery-etc-Staten Island                                ,SI99,Staten Island,,,,,NA,,
2013,,,,,,,,NA,,
2013,,,,,,,,NA,,
2014,Brooklyn Heights-Cobble Hill,BK09,Brooklyn,"23,532","2,099","17,273","1,351",19,"1,830",474
2014,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17,Brooklyn,"63,459","4,522","44,222","4,342",190,"9,681","1,849"
2014,Brighton Beach,BK19,Brooklyn,"33,146","4,105","22,785",432,132,"5,053",506
2014,Seagate-Coney Island,BK21,Brooklyn,"29,229","7,291","9,341","8,700",20,"3,378","4,891"
2014,West Brighton,BK23,Brooklyn,"14,977",71,"14,713",113,0,52,55
2014,Homecrest,BK25,Brooklyn,"43,565","3,199","34,280",407,39,"4,872",681
2014,Gravesend,BK26,Brooklyn,"28,944","4,033","15,185","2,643",100,"6,617","2,078"
2014,Bath Beach,BK27,Brooklyn,"32,002","4,872","15,104",374,64,"11,278","1,532"
2014,Bensonhurst West,BK28,Brooklyn,"90,834","13,719","40,801",659,159,"34,578","2,780"
2014,Bensonhurst East,BK29,Brooklyn,"61,820","6,755","30,304",404,0,"23,333","1,713"
2014,Dyker Heights,BK30,Brooklyn,"46,700","4,746","22,879",267,104,"18,365","1,588"
2014,Bay Ridge,BK31,Brooklyn,"84,439","14,227","54,257","1,459",285,"12,084","6,482"
2014,Sunset Park West,BK32,Brooklyn,"56,422","36,157","9,730","1,889",126,"7,813","8,722"
2014,Carroll Gardens-Columbia Street-Red Hook,BK33,Brooklyn,"40,307","8,410","24,320","4,143",19,"2,200","4,926"
2014,Sunset Park East,BK34,Brooklyn,"72,622","24,422","8,553","1,020",320,"37,437","6,355"
2014,Stuyvesant Heights,BK35,Brooklyn,"66,124","12,876","3,868","46,884",28,"1,529","5,736"
2014,Park Slope-Gowanus,BK37,Brooklyn,"74,526","13,815","48,494","3,844",292,"5,013","5,930"
2014,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,Brooklyn,"39,383","8,471","17,391","8,330",99,"4,062","4,580"
2014,Windsor Terrace,BK40,Brooklyn,"22,033","3,140","14,596","1,184",56,"2,411","1,117"
2014,Kensington-Ocean Parkway,BK41,Brooklyn,"37,013","5,997","18,418","2,557",91,"8,636","1,676"
2014,Flatbush,BK42,Brooklyn,"106,012","18,794","23,521","50,376",112,"10,360","3,882"
2014,Midwood,BK43,Brooklyn,"52,519","3,939","39,981","2,327",50,"5,552","1,165"
2014,Madison,BK44,Brooklyn,"40,609","3,176","27,422",418,26,"9,125",456
2014,Georgetown-Marine Park-Bergen Beach-Mill Basin,BK45,Brooklyn,"48,103","4,398","33,757","5,905",0,"3,216","1,878"
2014,Ocean Parkway South,BK46,Brooklyn,"20,143","1,738","17,215",65,106,834,347
2014,Canarsie,BK50,Brooklyn,"87,511","6,918","4,326","72,157",401,"2,612","2,691"
2014,Flatlands,BK58,Brooklyn,"72,864","5,748","12,015","51,214",52,"2,711","2,308"
2014,Prospect Lefferts Gardens-Wingate,BK60,Brooklyn,"69,695","6,703","8,161","51,696",85,"1,492","2,018"
2014,Crown Heights North,BK61,Brooklyn,"103,735","12,548","13,270","72,554",220,"2,797","5,023"
2014,Crown Heights South,BK63,Brooklyn,"41,128","3,391","10,877","25,718",74,502,850
2014,Prospect Heights,BK64,Brooklyn,"20,228","2,122","10,328","5,369",0,"1,581",522
2014,Fort Greene,BK68,Brooklyn,"28,721","6,168","8,113","10,846",5,"2,535","2,990"
2014,Clinton Hill,BK69,Brooklyn,"37,795","5,218","14,517","14,297",17,"2,156","1,852"
2014,Williamsburg,BK72,Brooklyn,"32,094","3,530","27,397",992,0,26,"2,184"
2014,North Side-South Side,BK73,Brooklyn,"50,995","18,138","27,147","1,211",45,"3,027","7,671"
2014,Bedford,BK75,Brooklyn,"71,706","13,811","21,931","32,549",167,"1,920","6,538"
2014,Greenpoint,BK76,Brooklyn,"32,185","3,947","24,998",590,125,"1,734","1,165"
2014,Bushwick North,BK77,Brooklyn,"63,458","45,496","7,672","6,031",32,"3,781","10,911"
2014,Bushwick South,BK78,Brooklyn,"75,202","44,401","8,688","18,817",166,"2,247","17,046"
2014,Ocean Hill,BK79,Brooklyn,"32,427","5,471",723,"25,343",18,540,"2,680"
2014,Brownsville,BK81,Brooklyn,"61,161","11,436",557,"47,823",190,571,"5,204"
2014,East New York,BK82,Brooklyn,"91,139","24,567","1,630","61,779",177,"1,882","10,127"
2014,Cypress Hills-City Line,BK83,Brooklyn,"47,199","28,509","2,354","12,208",39,"3,004","8,092"
2014,East New York (Pennsylvania Ave),BK85,Brooklyn,"30,594","8,588",506,"21,130",23,223,"3,556"
2014,Borough Park,BK88,Brooklyn,"109,422","11,307","82,725",633,48,"14,101","2,010"
