BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS,BLOCK,LOT,BUILDING CLASS,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQ FT,GROSS SQ FT,YEAR BUILT
2,BEDFORD PARK/NORWOOD,04  CONDOMINIUMS,1A,3355,1007,R3,3245 PARKSIDE PLACE,10467,1,0,1,0,0,2007
2,BEDFORD PARK/NORWOOD,04  CONDOMINIUMS,1A,3355,1008,R3,3245 PARKSIDE PLACE,10467,1,0,1,0,0,2007
2,BEDFORD PARK/NORWOOD,04  CONDOMINIUMS,1A,3355,1009,R3,3245 PARKSIDE PLACE,10467,1,0,1,0,0,2007
2,BEDFORD PARK/NORWOOD,04  CONDOMINIUMS,1A,3355,1010,R3,3247 PARKSIDE PLACE,10467,1,0,1,0,0,2007
2,BEDFORD PARK/NORWOOD,04  CONDOMINIUMS,1A,3355,1011,R3,3247 PARKSIDE PLACE,10467,1,0,1,0,0,2007
2,BEDFORD PARK/NORWOOD,04  CONDOMINIUMS,1A,3355,1012,R3,3247 PARKSIDE PLACE,10467,1,0,1,0,0,2007
2,BEDFORD PARK/NORWOOD,04  CONDOMINIUMS,1A,3355,1013,R3,3249 PARKSIDE PLACE,10467,1,0,1,0,0,2007
2,BEDFORD PARK/NORWOOD,04  CONDOMINIUMS,1A,3355,1014,R3,3249 PARKSIDE PLACE,10467,1,0,1,0,0,2007
2,BEDFORD PARK/NORWOOD,04  CONDOMINIUMS,1A,3355,1015,R3,3249 PARKSIDE PLACE,10467,1,0,1,0,0,2007
2,BEDFORD PARK/NORWOOD,07  RENTALS,2,3277,12,D7,2652 DECATUR AVENUE,10458,19,2,21,"5,008","18,981",2005
2,BEDFORD PARK/NORWOOD,07  RENTALS,2,3278,59,D1,2760 DECATUR AVENUE,10458,42,0,42,"12,400","33,552",2015
2,BEDFORD PARK/NORWOOD,07  RENTALS,2,3280,39,D7,2997 WEBSTER AVENUE,10458,34,1,35,"5,918","24,616",2013
2,BEDFORD PARK/NORWOOD,07  RENTALS,2,3280,45,D7,2987 WEBSTER AVENUE,10458,44,1,45,"7,499","31,353",2013
