Queens 421A Exempt Properties as of FINAL Roll FY'13/14,,,,,,,,,,,,,,
Neighborhood Name and Descriptive Data is as of Final 13/14,,,,,,,,,,,,,,
"Unit information first from RPAD, if missing then from VISION.",,,,,,,,,,,,,,
Building Class Category is based on Building Class as of Final 13/14,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE, RESIDENTIAL UNITS , COMMERCIAL UNITS , TOTAL UNITS , LAND SQUARE FEET , GROSS SQUARE FEET ,YEAR BUILT
4,ASTORIA                  ,03  3-FAMILY                                ,1,810,35,C0,37-20 20 AVENUE                          ,11105, 3 , -   , 3 ," 1,517 "," 3,673 ",2002
4,ASTORIA                  ,03  3-FAMILY                                ,1,810,36,C0,37-22 20 AVENUE                          ,11105, 3 , -   , 3 ," 2,257 "," 3,673 ",2002
4,ASTORIA                  ,03  3-FAMILY                                ,1,810,38,C0,20-14 38 STREET                          ,11105, 3 , -   , 3 ," 2,267 "," 3,673 ",2002
4,ASTORIA                  ,03  3-FAMILY                                ,1,810,39,C0,20-16 38 STREET                          ,11105, 3 , -   , 3 ," 2,267 "," 3,673 ",2002
4,ASTORIA                  ,03  3-FAMILY                                ,1,810,40,C0,20-18 38 STREET                          ,11105, 3 , -   , 3 ," 3,067 "," 3,673 ",2002
4,ASTORIA                  ,03  3-FAMILY                                ,1,884,35,C0,25-26 23 STREET                          ,11102, 3 , -   , 3 ," 2,500 "," 3,618 ",2005
4,ASTORIA                  ,03  3-FAMILY                                ,1,884,36,C0,25-28 23 STREET                          ,11102, 3 , -   , 3 ," 2,000 "," 3,530 ",2005
4,ASTORIA                  ,03  3-FAMILY                                ,1,888,12,C0,18-17 25 ROAD                            ,11102, 3 , -   , 3 ," 5,000 "," 3,232 ",2001
4,ASTORIA                  ,03  3-FAMILY                                ,1,888,13,C0,18-15 25 ROAD                            ,11102, 3 , -   , 3 ," 2,100 "," 2,608 ",2001
4,ASTORIA                  ,03  3-FAMILY                                ,1,900,9,C0,12-05 26 AVENUE                          ,11102, 3 , -   , 3 ," 2,651 "," 3,744 ",1994
4,ASTORIA                  ,03  3-FAMILY                                ,1,900,10,C0,12-03 26 AVENUE                          ,11102, 3 , -   , 3 ," 2,102 "," 3,160 ",1994
4,ASTORIA                  ,03  3-FAMILY                                ,1,900,43,C0,25-30 14 STREET                          ,11102, 3 , -   , 3 ," 2,792 "," 3,246 ",2005
4,ASTORIA                  ,03  3-FAMILY                                ,1,900,44,C0,25-30A 14 STREET                         ,11102, 3 , -   , 3 ," 1,940 "," 3,204 ",2005
4,ASTORIA                  ,03  3-FAMILY                                ,1,900,46,C0,25-30B 14 STREET                         ,11102, 3 , -   , 3 ," 2,792 "," 3,258 ",2005
4,ASTORIA                  ,03  3-FAMILY                                ,1,900,52,C0,25-42 14 STREET                          ,11102, 3 , -   , 3 ," 2,879 "," 4,256 ",2004
4,ASTORIA                  ,03  3-FAMILY                                ,1,902,18,C0,26-19 12 STREET                          ,11102, 3 , -   , 3 ," 2,703 "," 4,400 ",2004
4,ASTORIA                  ,03  3-FAMILY                                ,1,903,33,C0,26-02 12 STREET                          ,11102, 3 , -   , 3 ," 4,592 "," 4,290 ",2002
4,ASTORIA                  ,03  3-FAMILY                                ,1,903,34,C0,26-06 12 STREET                          ,11102, 3 , -   , 3 ," 4,450 "," 4,290 ",2002
4,ASTORIA                  ,03  3-FAMILY                                ,1,903,35,C0,26-10 12 STREET                          ,11102, 3 , -   , 3 ," 4,500 "," 4,400 ",2000
4,ASTORIA                  ,03  3-FAMILY                                ,1,903,36,C0,26-12 12 STREET                          ,11102, 3 , -   , 3 ," 4,578 "," 5,400 ",2000
4,ASTORIA                  ,03  3-FAMILY                                ,1,903,37,C0,26-14 12 STREET                          ,11102, 3 , -   , 3 ," 4,500 "," 5,400 ",2000
4,ASTORIA                  ,03  3-FAMILY                                ,1,914,13,C0,26-07 2 STREET                           ,11102, 3 , -   , 3 ," 1,550 "," 4,500 ",2005
4,ASTORIA                  ,03  3-FAMILY                                ,1,914,14,C0,26-03 2 STREET                           ,11102, 3 , -   , 3 ," 1,150 "," 3,498 ",2005
4,ASTORIA                  ,03  3-FAMILY                                ,1,914,113,C0,26-05 2 STREET                           ,11102, 3 , -   , 3 ," 1,150 "," 3,498 ",2005
4,ASTORIA                  ,03  3-FAMILY                                ,1,914,114,C0,26-01 2 STREET                           ,11102, 3 , -   , 3 ," 1,150 "," 3,366 ",2005
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,531,59,D6,14-56 31 DRIVE                           ,11106, 60 , 3 , 63 ," 10,016 "," 61,700 ",2001
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,531,60,D1,31-64 21 STREET                          ,11106, 52 , -   , 52 ," 5,000 "," 46,333 ",2002
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,533,27,C1,14-08 31 AVENUE                          ,11106, 14 , -   , 14 ," 4,785 "," 17,250 ",2003
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,539,39,D6,27-34 21 STREET                          ,11102, 26 , 2 , 28 ," 5,000 "," 31,578 ",2000
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,540,40,D1,27-19 14 STREET                          ,11102, 60 , -   , 60 ," 22,941 "," 41,900 ",2007
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,542,5,D8,22-14 ASTORIA BOULEVARD                  ,11102, 16 , -   , 16 ," 4,436 "," 21,783 ",2007
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,550,10,D1,21-05 30 DRIVE                           ,11102, 88 , -   , 88 ," 21,187 "," 94,595 ",2004
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,569,15,C1,23-27 31 ROAD                            ,11106, 14 , -   , 14 ," 5,288 "," 9,640 ",2007
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,570,16,D1,23-11 31 AVENUE                          ,11106, 23 , -   , 23 ," 4,167 "," 18,900 ",2001
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,571,11,D1,23-25 30 DRIVE                           ,11102, 20 , -   , 20 ," 7,512 "," 15,675 ",2006
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,573,46,D7,27-10 ASTORIA BOULEVARD                  ,11102, 25 , 2 , 27 ," 5,550 "," 25,920 ",2004
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,573,59,D7,26-38 28 STREET                          ,11102, 14 , 1 , 15 ," 4,500 "," 15,423 ",2007
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,578,35,D7,25-32 30 DRIVE                           ,11102, 39 , 1 , 40 ," 10,950 "," 43,552 ",2009
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,597,114,C1,26-34 30 STREET                          ,11102, 20 , -   , 20 ," 5,006 "," 17,600 ",2001
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,598,18,C1,26-39 30 STREET                          ,11102, 14 , -   , 14 ," 5,000 "," 10,000 ",1999
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,598,64,D7,28-04 31 STREET                          ,11102, 10 , 2 , 12 ," 3,750 "," 16,873 ",2006
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,620,178,D3,25-16 33 STREET                          ,11102, 11 , -   , 11 ," 2,742 "," 11,596 ",2004
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,652,42,D7,36-16 ASTORIA BOULEVARD SOUTH            ,11103, 25 , 1 , 26 ," 6,690 "," 34,146 ",2007
4,ASTORIA                  ,08  RENTALS - REGULATED                     ,2,659,73,C1,30-62 38 STREET                          ,11103, 16 , -   , 16 ," 5,236 "," 14,818 ",2005
