Borough,lon,lat
Manhattan,-73.9877211,40.7329148
Manhattan,-73.9921112,40.7349509
Manhattan,-73.99474510000002,40.7361597
Manhattan,-73.98863,40.73186
Manhattan,-73.9916131,40.7320773
Manhattan,-73.993247,40.725915
Manhattan,-73.993408,40.7335593
Manhattan,-74.0075179,40.731991
Manhattan,-74.00242899999999,40.73919799999999
Manhattan,-74.00927209999999,40.7336324
Manhattan,-74.0093962,40.7372937
Manhattan,-74.00887329999999,40.7377319
Manhattan,-74.00471350000001,40.7297735
Manhattan,-74.0098392,40.7350853
Manhattan,-74.0040047,40.7310065
Manhattan,-74.0040231,40.7310022
Manhattan,-74.0041251,40.7397448
Manhattan,-74.0091968,40.737723
Manhattan,-73.94472739999999,40.8132877
Manhattan,-73.945133,40.8130443
Manhattan,-73.944923,40.81260109999999
Manhattan,-73.9449082,40.8129093
Manhattan,-73.95299,40.8120249
Manhattan,-73.943555,40.813297
Manhattan,-73.943613,40.81332099999999
Manhattan,-73.9382163,40.8082661
Manhattan,-73.93882909999999,40.8001394
Manhattan,-73.9543047,40.7996305
Manhattan,-73.9536704,40.8001627
Manhattan,-73.9508477,40.8022755
Manhattan,-73.9567022,40.8021313
Manhattan,-73.954714,40.803827
Manhattan,-73.954435899999993,40.8052042
Manhattan,-73.951702,40.805646
Manhattan,-73.952638,40.8075995
Manhattan,-73.95233050000002,40.8080077
Manhattan,-73.94793109999999,40.8102763
Manhattan,-73.950141,40.81210799999999
Manhattan,-73.93796499999999,40.82386400000001
Manhattan,-73.94435,40.820782
Manhattan,-73.9472772,40.801396
Manhattan,-73.93765719999999,40.8158808
Manhattan,-73.9407954,40.8044874
Manhattan,-73.93708819999999,40.8097818
Manhattan,-73.957498,40.800926
Manhattan,-73.9537801,40.8030647
Manhattan,-73.9481016,40.8073886
Manhattan,-73.9443182,40.8104148
Manhattan,-73.9455103,40.8121719
Manhattan,-73.938801,40.8200696
Manhattan,-73.943035,40.806115
Manhattan,-73.9368549,40.815144
Manhattan,-73.94292,40.8021274
Manhattan,-73.941075,40.803799
Manhattan,-73.9470778,40.800503
Manhattan,-73.94806559999999,40.801161
Manhattan,-73.9474919,40.8013012
Manhattan,-73.9433128,40.8083584
Manhattan,-73.9418107,40.807981
Manhattan,-73.941639,40.8092321
Manhattan,-73.94314899999999,40.809855
Manhattan,-73.9432633,40.8102916
Manhattan,-73.9400658,40.8105633
Manhattan,-73.94009249999999,40.8106756
Manhattan,-73.94011549999999,40.8106286
Manhattan,-73.9444346,40.8029506
Manhattan,-73.939516,40.808058
Manhattan,-73.9383412,40.8079098
Manhattan,-73.940461,40.8083637
Manhattan,-73.9386002,40.8075829
Manhattan,-73.9374058,40.808749
Manhattan,-73.9517923,40.800611
Manhattan,-73.95047029999999,40.8020399
Manhattan,-73.9564034,40.8017071
Manhattan,-73.95632979999999,40.8027273
Manhattan,-73.9564013,40.8026239
Manhattan,-73.955016,40.803129
Manhattan,-73.9559736,40.8030984
Manhattan,-73.95512699999999,40.803685
Manhattan,-73.9548112,40.8034917
Manhattan,-73.9473715,40.8070955
Manhattan,-73.9435716,40.8105416
Manhattan,-73.9444463,40.8136746
Manhattan,-73.9530918,40.805522
Manhattan,-73.95205589999999,40.8083717
Manhattan,-73.9515405,40.8092807
Manhattan,-73.9455542,40.8163715
Manhattan,-73.945589,40.817426
Manhattan,-73.9456019,40.817413
Manhattan,-73.945579,40.817391
Manhattan,-73.94556299999999,40.8173699
Manhattan,-73.945559,40.817351
Manhattan,-73.945634,40.817353
Manhattan,-73.94559500000001,40.817327
Manhattan,-73.9452009,40.8175063
Manhattan,-73.9549645,40.8061474
Manhattan,-73.9548913,40.806538
Manhattan,-73.9544781,40.8061261
Manhattan,-73.95468269999999,40.80599410000001
Manhattan,-73.9543742,40.807135100000004
Manhattan,-73.954531,40.806892
Manhattan,-73.9526465,40.8093072
Manhattan,-73.95050359999999,40.8126183
Manhattan,-73.9473934,40.8165897
Manhattan,-73.945994,40.817755
Manhattan,-73.94566019999999,40.8176735
Manhattan,-73.94614,40.817538
Manhattan,-73.9488248,40.8133913
Manhattan,-73.9462112,40.8174222
Manhattan,-73.9403501,40.8162033
Manhattan,-73.941581,40.81748899999999
Manhattan,-73.93932509999999,40.8194304
Manhattan,-73.945155,40.817956
Manhattan,-73.9397747,40.8242117
Manhattan,-73.94559500000001,40.8183239
Manhattan,-73.94572099999999,40.818167
Manhattan,-73.9457089,40.81819000000001
Manhattan,-73.94515799999999,40.818891
Manhattan,-73.94507879999999,40.8189948
Manhattan,-73.94243809999999,40.8235159
Manhattan,-73.9418316,40.823888
Manhattan,-73.9368537,40.8155298
Manhattan,-73.9450085,40.8021063
Manhattan,-73.9448542,40.8023603
Manhattan,-73.9535042,40.8059836
Manhattan,-73.9534548,40.8065748
Manhattan,-73.9531002,40.806403
Manhattan,-73.95540199999999,40.805025
Manhattan,-73.955362,40.80654
Manhattan,-73.9549116,40.8071693
Manhattan,-73.95087869999999,40.8119893
Manhattan,-73.9492059,40.8021902
Manhattan,-73.9435056,40.8015247
Manhattan,-73.94392730000001,40.80163
Manhattan,-73.9496943,40.8026776
Manhattan,-73.94947599999999,40.80304
Manhattan,-73.9535459,40.8074145
Manhattan,-73.9553131,40.809285
Manhattan,-73.94011490000001,40.8247261
Manhattan,-73.9426177,40.8227448
Manhattan,-73.9417141,40.8245836
Manhattan,-73.94107050000001,40.8253733
Manhattan,-73.9434689,40.823225
Manhattan,-73.943715,40.8081053
Manhattan,-73.93849100000001,40.807589
Manhattan,-73.9519512,40.8081966
Manhattan,-73.94245529999999,40.8088211
Manhattan,-73.94000799999999,40.808992
Manhattan,-73.9528545,40.8004609
Manhattan,-73.9471932,40.80658529999999
Manhattan,-73.9476937,40.8071288
Manhattan,-73.9436755,40.81216920000001
Manhattan,-73.95013949999999,40.8074389
Manhattan,-73.951691,40.8080888
Manhattan,-73.9518848,40.808169
Manhattan,-73.95286399999999,40.812011
Manhattan,-73.9388776,40.8242649
Manhattan,-73.9457018,40.82051
Manhattan,-73.94565899999999,40.820633
Manhattan,-73.94245599999999,40.801052
Manhattan,-73.941982,40.801711
Manhattan,-73.9509806,40.7863766
Manhattan,-73.95030799999999,40.7862659
Manhattan,-73.95053519999999,40.7870559
Manhattan,-73.9479333,40.7875845
Manhattan,-73.9484925,40.78797050000001
Manhattan,-73.949039,40.790315
Manhattan,-73.9464256,40.7916445
Manhattan,-73.9452737,40.79539
Manhattan,-73.9428961,40.7955685
Manhattan,-73.9439675,40.7960458
Manhattan,-73.94368399999999,40.790519
Manhattan,-73.9403557,40.7934785
Manhattan,-73.9413867,40.7941723
Manhattan,-73.940114,40.7941925
Manhattan,-73.9384489,40.7987778
Manhattan,-73.94317869999999,40.7863424
Manhattan,-73.93885499999999,40.792204
Manhattan,-73.93432849999999,40.7941358
Manhattan,-73.937242,40.801188
Manhattan,-73.9358567,40.8030574
Manhattan,-73.93445,40.8024746
Manhattan,-73.9328081,40.7980604
Manhattan,-73.94656499999999,40.795964
Manhattan,-73.942718,40.800659
Manhattan,-73.943231,40.79538
Manhattan,-73.94065599999999,40.792141
Manhattan,-73.93888000000001,40.79386299999999
Manhattan,-73.93452769999999,40.7949495
Manhattan,-73.9321408,40.79596480000001
Manhattan,-73.935187,40.8022909
Manhattan,-73.946586,40.7963023
Manhattan,-73.9402679,40.7995329
Manhattan,-73.93498439999999,40.7981901
Manhattan,-73.93512009999999,40.7986368
Manhattan,-73.9464685,40.7958832
Manhattan,-73.9482286,40.7891442
Manhattan,-73.94721609999999,40.7905315
Manhattan,-73.94355949999999,40.79466499999999
Manhattan,-73.94031,40.7987449
Manhattan,-73.940922,40.79896
Manhattan,-73.94101169999999,40.7944342
Manhattan,-73.941147,40.79445399999999
Manhattan,-73.94119830000001,40.788576
Manhattan,-73.93977149999999,40.79183
Manhattan,-73.938936,40.792237
Manhattan,-73.93937729999999,40.7920501
Manhattan,-73.9386545,40.7938262
Manhattan,-73.9389672,40.7935484
Manhattan,-73.93414130000001,40.7961442
Manhattan,-73.93701539999999,40.798534
Manhattan,-73.9360674,40.80277239999999
Manhattan,-73.9353299,40.7982439
Manhattan,-73.9347526,40.7980817
Manhattan,-73.932881,40.7980938
Manhattan,-73.9464873,40.8001636
Manhattan,-73.947968,40.7851883
Manhattan,-73.94479489999999,40.7874851
Manhattan,-73.93762219999999,40.8006152
Manhattan,-73.9439615,40.8009078
Manhattan,-73.940654,40.799535
Manhattan,-73.94196579999999,40.7947277
Manhattan,-73.9426221,40.7875832
Manhattan,-73.94244599999999,40.7937269
Manhattan,-73.9410862,40.788725
Manhattan,-73.933824,40.7964249
Manhattan,-73.9412955,40.7999834
Manhattan,-73.9410362,40.7887824
Manhattan,-73.9336115,40.7959512
Manhattan,-73.933306,40.795796
Manhattan,-73.9335372,40.7962048
Manhattan,-73.937353,40.7970992
Manhattan,-73.94292999999999,40.8001946
Manhattan,-73.952783,40.825515
Manhattan,-73.94378999999999,40.825921
Manhattan,-73.944198,40.8281607
Manhattan,-73.9480174,40.8273066
Manhattan,-73.94964399999999,40.8286696
Manhattan,-73.9493792,40.8291136
Manhattan,-73.9540288,40.8181701
Manhattan,-73.95350049999999,40.8197047
Manhattan,-73.95243669999999,40.81967909999999
Manhattan,-73.92199819999999,40.8630099
Manhattan,-73.92407589999999,40.86753179999999
Manhattan,-73.9243204,40.8669156
Manhattan,-73.92372809999999,40.8688312
Manhattan,-73.9980872,40.7568325
Manhattan,-73.9954929,40.7552129
Manhattan,-73.99693320000002,40.7563076
Manhattan,-73.9964376,40.7561357
Manhattan,-73.9987093,40.75190360000001
Manhattan,-73.9975024,40.7551162
Manhattan,-73.9966589,40.7546589
Manhattan,-73.994608,40.756264
Manhattan,-73.9799452,40.7364116
Manhattan,-73.9731989,40.7476957
Manhattan,-73.9794421,40.7369621
Manhattan,-73.9807665,40.7375124
Manhattan,-73.97575669999999,40.7440559
Manhattan,-73.97737599999999,40.739866
Manhattan,-73.994428,40.7221334
Manhattan,-73.99335099999999,40.723171
Manhattan,-73.9933819,40.7230937
Manhattan,-73.9961395,40.7194464
Manhattan,-73.9971996,40.7201757
Manhattan,-73.99668369999999,40.7193697
Manhattan,-73.9943648,40.7216525
Manhattan,-73.9939879,40.7212879
Manhattan,-73.9949129,40.7246722
Manhattan,-73.986969,40.721877
Manhattan,-73.9890659,40.713747
Manhattan,-73.9826118,40.7209844
Manhattan,-73.99503229999999,40.71175789999999
Manhattan,-73.9915405,40.7141282
Manhattan,-73.9906993,40.716754
Manhattan,-73.9901015,40.715792
Manhattan,-73.9830558,40.7199757
Manhattan,-73.98718099999999,40.7192849
Manhattan,-73.98679589999999,40.7164504
Manhattan,-73.9912737,40.7155931
Manhattan,-73.9842566,40.7202486
Manhattan,-73.9896462,40.7178304
Manhattan,-73.9940771,40.719408
Manhattan,-73.9924928,40.72334559999999
Manhattan,-73.9592644,40.8012184
Manhattan,-73.95701,40.8032214
Manhattan,-73.9568803,40.80289519999999
Manhattan,-73.9562212,40.803772
Manhattan,-73.9559114,40.8039664
Manhattan,-73.95616509999999,40.8045102
Manhattan,-73.9664378,40.793884
Manhattan,-73.9659743,40.794327
Manhattan,-73.96562089999999,40.794977
Manhattan,-73.96056229999999,40.8006445
Manhattan,-73.95678199999999,40.8039557
Manhattan,-73.9621015,40.7995426
Manhattan,-73.9573881,40.802067
Manhattan,-73.9565394,40.8038141
Manhattan,-73.9580143,40.80525979999999
Manhattan,-73.9742299,40.7521442
Manhattan,-73.9792218,40.7544837
Manhattan,-73.9715595,40.7526674
Manhattan,-73.9646538,40.7567293
Manhattan,-73.9695107,40.7543656
Manhattan,-73.9675341,40.7567573
Manhattan,-73.9682563,40.7547684
Manhattan,-73.9675226,40.7555747
Manhattan,-73.9652606,40.7556663
Manhattan,-73.9614059,40.7579468
Manhattan,-73.96810599999999,40.7549337
Manhattan,-73.9871338,40.7605783
Manhattan,-73.9858466,40.7618477
Manhattan,-73.9916327,40.7587021
Manhattan,-73.9912648,40.7585457
Manhattan,-73.9856515,40.76559460000001
Manhattan,-73.99130509999999,40.7583474
Manhattan,-73.9789918,40.76555889999999
Manhattan,-73.9791548,40.76542
Manhattan,-73.9874837,40.7597213
Manhattan,-73.9876706,40.76105949999999
Manhattan,-73.9858531,40.7635079
